Edad;Genero;Comunidad;curso;centro_cod;horas_uso_pantallas_cod;mom_uso_pantallas;n_freq;Aplicaciones_frecuentes;n_aplic;uso_pant;num_activ;uso_apps;uso_pant_asig;n_asign_pantallas;herra_tec_tec_ayuda_aprend;decide_uso_tec;clases_mas_gustan_tec;facil_prof_joven;participacion_clase;usar_tec_aprendo_loquegusta;eleccion_aprend
8;1;5;1;6;1;25;1;914;2;93;3;4;275;2;4;0;4;4;0;4;4
8;1;5;1;6;2;25;1;923;1;344;1;4;209;1;4;0;0;4;0;4;4
8;1;5;1;6;1;25;1;822;4;104;6;4;306;9;4;4;4;4;4;3;0
8;1;5;1;6;1;26;2;823;5;104;6;4;306;9;4;4;4;4;4;4;0
8;1;5;1;6;1;25;1;752;5;108;8;2;308;8;4;4;4;4;4;4;0
8;1;10;1;6;2;25;1;171;4;109;5;4;491;3;3;1;3;4;1;2;2
8;1;5;1;7;1;25;1;923;1;151;4;1;294;4;2;0;3;2;4;2;4
8;1;8;1;12;3;25;1;723;7;57;4;4;314;11;4;2;2;2;2;4;2
8;1;8;1;12;1;12;1;617;4;42;3;3;568;0;3;4;4;2;2;4;2
8;1;8;1;12;1;7;3;219;13;214;5;3;368;7;3;2;4;4;2;4;3
8;1;8;1;12;1;1;1;523;9;89;5;2;294;4;4;0;4;4;4;4;4
8;2;8;1;1;1;3;3;792;6;145;5;0;275;2;2;0;2;3;2;2;2
8;2;8;1;1;1;24;1;899;1;344;1;0;96;2;4;3;4;3;4;3;2
8;2;13;1;5;4;25;1;5;21;174;6;3;228;6;4;4;4;4;3;3;4
8;2;13;1;5;4;25;1;202;9;205;3;2;296;6;4;4;4;0;0;4;4
8;2;11;1;4;1;25;1;113;6;103;4;2;223;5;2;3;4;2;2;4;3
8;2;11;1;4;1;25;1;75;12;76;4;3;224;9;3;2;3;2;4;1;4
8;2;11;1;4;1;1;1;298;5;155;4;3;310;7;2;4;4;4;4;3;4
9;2;11;1;4;1;8;1;119;4;47;1;4;28;4;3;2;4;2;4;4;4
8;2;11;1;4;1;25;1;449;4;201;5;3;328;9;3;3;4;3;3;2;3
8;2;11;1;4;1;25;1;897;2;296;2;3;29;4;4;3;3;2;4;3;4
8;2;11;1;4;1;5;2;683;8;89;5;2;223;5;4;0;4;4;0;4;0
8;2;11;1;4;1;25;1;75;12;76;4;3;224;9;4;0;4;4;2;4;4
8;2;11;1;4;1;1;1;298;5;155;4;3;310;7;4;2;4;4;4;4;4
9;2;11;1;4;1;8;1;119;4;47;1;4;28;4;4;4;4;4;4;4;4
8;2;11;1;4;1;25;1;449;4;201;5;3;328;9;4;2;3;2;4;3;2
8;2;11;1;4;1;25;1;897;2;296;2;3;29;4;3;1;3;2;2;2;1
8;2;11;1;4;3;2;2;733;3;257;5;1;105;1;3;2;4;2;2;4;4
8;2;11;1;4;3;2;2;733;3;257;5;1;105;1;4;2;4;0;4;4;4
8;2;11;1;4;4;7;3;12;12;171;7;4;312;9;3;3;3;4;4;4;4
8;2;11;1;4;4;25;1;514;12;208;6;3;326;7;2;1;4;2;2;3;3
8;2;11;1;4;4;25;1;202;9;205;3;2;296;6;2;3;4;4;4;4;2
8;2;11;1;4;4;25;1;41;10;160;3;4;75;2;2;4;4;2;4;4;4
8;2;11;1;4;4;1;1;38;14;172;7;4;228;6;1;2;1;0;2;0;4
8;2;11;1;4;4;25;1;366;8;211;6;4;312;9;4;0;3;3;4;4;4
8;2;11;1;4;4;25;1;229;11;180;7;3;326;7;4;0;4;3;4;4;4
8;2;11;1;4;4;25;1;5;21;174;6;3;228;6;2;0;4;0;4;4;4
8;2;11;1;4;4;25;1;41;10;160;3;4;75;2;4;2;4;2;4;4;4
8;2;11;1;4;4;1;1;38;14;172;7;4;228;6;4;3;4;3;2;3;4
8;2;5;1;6;2;25;1;87;6;253;5;4;110;1;4;3;4;2;4;4;4
8;2;5;1;6;1;25;1;134;6;296;2;4;275;2;2;0;4;4;0;4;4
8;2;5;1;6;1;25;1;897;2;151;4;4;209;1;2;3;4;3;4;4;1
8;2;5;1;6;2;6;2;178;2;296;2;2;209;1;3;2;4;1;1;2;4
9;2;5;1;6;2;25;1;94;8;133;4;4;209;1;4;0;2;2;1;0;3
8;2;5;1;6;1;25;1;891;1;138;1;4;209;1;4;1;4;4;4;0;4
8;2;5;1;6;2;7;3;133;7;168;3;4;275;2;3;2;3;2;4;1;1
8;2;5;1;6;1;26;2;64;12;262;4;4;275;2;0;4;4;4;0;4;4
8;2;5;1;6;1;6;2;429;7;193;6;4;293;3;4;0;4;4;4;4;4
8;2;5;1;7;1;25;1;69;5;155;4;4;524;8;3;2;4;4;2;4;2
8;2;4;1;3;1;25;1;69;5;155;4;4;226;5;3;2;4;3;0;4;4
8;2;8;1;3;1;25;1;642;1;138;1;4;20;1;3;1;4;1;3;4;3
8;2;8;1;3;1;25;1;76;9;344;1;4;565;2;4;0;4;4;4;4;0
8;2;8;1;3;1;25;1;137;10;231;7;2;569;1;2;0;4;3;2;4;0
8;2;8;1;3;1;25;1;459;2;296;2;4;21;2;4;2;4;3;3;2;2
8;2;8;1;3;1;28;0;71;13;243;6;4;236;7;0;4;0;0;2;0;4
8;2;8;1;3;4;25;1;136;7;216;4;4;204;6;4;4;4;2;4;4;4
8;2;8;1;3;2;25;1;699;4;43;1;4;66;1;4;4;4;3;4;4;4
8;2;8;1;3;2;1;1;125;8;93;3;4;569;1;4;2;4;4;4;3;4
8;2;8;1;3;1;25;1;745;4;182;4;4;568;0;2;0;4;2;0;4;2
8;2;8;1;3;1;25;1;394;6;93;3;4;126;7;2;2;2;4;2;4;4
8;2;8;1;3;1;8;1;559;4;344;1;4;568;0;2;4;2;3;2;3;3
8;2;8;1;3;1;8;1;331;2;138;1;2;432;9;4;0;2;4;4;0;0
8;2;8;1;3;1;25;1;42;13;297;3;3;340;8;4;1;4;4;3;3;4
8;2;8;1;3;2;6;2;135;6;170;2;4;39;3;2;3;4;2;3;4;3
8;2;8;1;12;1;26;2;159;2;273;4;0;250;4;4;0;4;4;4;2;4
8;3;11;1;4;1;25;1;73;9;236;6;2;27;5;2;2;4;2;4;4;4
8;3;11;1;4;1;25;1;73;9;236;6;2;27;5;4;0;4;4;0;4;0
10;1;8;2;1;1;24;1;891;1;151;4;2;359;5;2;1;2;1;3;2;2
11;1;8;2;1;1;1;1;521;8;219;4;2;576;2;0;4;4;3;0;3;4
9;1;8;2;1;1;25;1;913;4;170;2;2;455;3;4;2;3;3;4;3;2
10;1;8;2;1;1;25;1;336;5;337;1;2;524;8;3;2;4;2;1;2;2
12;1;8;2;1;1;25;1;413;7;259;4;2;209;1;3;2;4;2;3;2;2
9;1;8;2;1;1;25;1;913;4;170;2;2;569;1;4;3;3;1;4;2;1
9;1;8;2;1;1;1;1;919;1;317;2;4;215;3;4;4;2;2;3;3;4
9;1;10;2;2;1;25;1;110;3;26;2;4;559;1;2;0;4;2;1;4;3
10;1;10;2;2;1;25;1;138;7;213;5;4;489;5;4;3;4;4;4;4;4
10;1;10;2;2;1;8;1;900;1;43;1;3;478;6;3;1;3;1;2;2;3
10;1;6;2;10;4;4;4;865;6;246;7;4;269;3;4;4;4;3;2;4;4
9;1;6;2;10;1;26;2;859;5;124;4;3;105;1;4;4;4;4;4;2;4
9;1;6;2;10;1;25;1;327;6;310;6;4;273;3;3;1;3;2;1;2;2
9;1;6;2;10;2;4;4;865;6;246;7;4;105;1;3;3;4;4;3;3;4
9;1;6;2;10;4;25;1;262;7;270;8;3;105;1;0;0;1;3;2;4;4
9;1;6;2;10;2;6;2;799;3;32;2;3;568;0;4;4;4;2;3;4;3
9;1;6;2;10;2;25;1;868;3;37;5;3;568;0;4;2;4;3;2;4;1
9;1;6;2;10;1;7;3;306;8;287;5;4;264;2;4;2;4;2;2;2;3
9;1;6;2;10;1;7;3;611;8;39;3;3;487;5;4;2;4;4;4;4;4
9;1;6;2;10;3;6;2;782;5;89;5;4;398;9;4;4;4;4;4;4;4
9;1;6;2;10;4;7;3;506;4;120;4;4;568;0;4;4;4;2;3;3;3
9;1;6;2;10;4;25;1;336;5;337;1;3;568;0;3;2;4;2;3;1;2
